iteration,cost,wirecount,intersectioncount
676,3057603,12603,10150
677,3383591,13691,11233
678,3956993,15593,13138
679,3780315,15015,12551
680,4401281,17081,14614
681,3254749,13249,10805
682,3832385,15185,12724
683,3641251,14551,12089
684,3528373,14173,11714
685,3745093,14893,12434
686,3566895,14295,11842
687,3721617,14817,12356
688,3473891,13991,11533
689,3675255,14655,12202
690,3385099,13699,11238
691,4206231,16431,13966
692,3778207,15007,12544
693,3286969,13369,10912
694,3711079,14779,12321
695,3418205,13805,11348
696,2942925,12225,9769
697,3752319,14919,12458
698,3786939,15039,12573
699,3732453,14853,12392
700,3996131,15731,13268
701,3223155,13155,10700
702,3160851,12951,10493
703,3799279,15079,12614
704,3783025,15025,12560
705,4047001,15901,13437
706,3929605,15505,13047
707,3700851,14751,12287
708,2977843,12343,9885
709,3185521,13021,10575
710,2861643,11943,9499
711,3628601,14501,12047
712,2827037,11837,9384
713,4057237,15937,13471
714,3894695,15395,12931
715,3913957,15457,12995
716,3234291,13191,10737
717,3175603,13003,10542
718,3224065,13165,10703
719,3921177,15477,13019
720,3448005,13905,11447
721,3618979,14479,12015
722,3588569,14369,11914
723,3303817,13417,10968
724,3711977,14777,12324
725,3622587,14487,12027
726,3570819,14319,11855
727,3178907,13007,10553
728,3310751,13451,10991
729,3952485,15585,13123
730,4053621,15921,13459
731,3180393,12993,10558
732,3350185,13585,11122
733,4169807,16307,13845
734,3859777,15277,12815
735,2942013,12213,9766
736,3293893,13393,10935
737,3024485,12485,10040
738,3724027,14827,12364
739,3343257,13557,11099
740,3617167,14467,12009
741,3405565,13765,11306
742,4087037,16037,13570
743,3408565,13765,11316
744,3599713,14413,11951
745,3934125,15525,13062
746,3946765,15565,13104
747,3154823,12923,10473
748,3433245,13845,11398
749,3132851,12851,10400
750,3886867,15367,12905
751,3558781,14281,11815
752,3583763,14363,11898
753,3638841,14541,12081
754,3919675,15475,13014
755,3583153,14353,11896
756,3399247,13747,11285
757,4056935,15935,13470
758,3071735,12635,10197
759,3711081,14781,12321
760,3361617,13617,11160
761,3329413,13513,11053
762,3627403,14503,12043
763,3511813,14113,11659
764,3615665,14465,12004
765,3076547,12647,10213
766,4060247,15947,13481
767,3193343,13043,10601
768,3462149,13949,11494
769,3640345,14545,12086
770,4406699,17099,14632
771,3467271,13971,11511
772,4088841,16041,13576
773,3919679,15479,13014
774,3031115,12515,10062
775,2861041,11941,9497
776,3020571,12471,10027
777,4003055,15755,13291
778,3409469,13769,11319
779,3410989,13789,11324
780,3634329,14529,12066
781,3792055,15055,12590
782,3892585,15385,12924
783,3850445,15245,12784
784,4057521,15921,13472
785,3793855,15055,12596
786,3320989,13489,11025
787,3707773,14773,12310
788,3423929,13829,11367
789,3559675,14275,11818
790,3821853,15153,12689
791,4016293,15793,13335
792,3780607,15007,12552
793,3860079,15279,12816
794,3617467,14467,12010
795,3359209,13609,11152
796,3110283,12783,10325
797,3166571,12971,10512
798,3612953,14453,11995
799,3645161,14561,12102
800,3391423,13723,11259
801,3398037,13737,11281
802,3664129,14629,12165
803,3648777,14577,12114
804,4184253,16353,13893
805,3362827,13627,11164
806,3234887,13187,10739
807,3237601,13201,10748
808,2976635,12335,9881
809,3600309,14409,11953
810,3396231,13731,11275
811,3588867,14367,11915
812,4022619,15819,13356
813,3416397,13797,11342
814,3450117,13917,11454
815,4145129,16229,13763
816,3597899,14399,11945
817,4193567,16367,13924
818,3912747,15447,12991
819,4775723,18323,15858
820,3382091,13691,11228
821,4039475,15875,13412
822,3736369,14869,12405
823,3217123,13123,10680
824,3894997,15397,12932
825,3092825,12725,10267
826,3813419,15119,12661
827,3527475,14175,11711
828,3569311,14311,11850
829,3127143,12843,10381
830,3796269,15069,12604
831,3162345,12945,10498
832,3440479,13879,11422
833,3354395,13595,11136
834,3404363,13763,11302
835,3861583,15283,12821
836,3153621,12921,10469
837,3269213,13313,10853
838,3963319,15619,13159
839,3381171,13671,11225
840,3173787,12987,10536
841,4225793,16493,14031
842,3130143,12843,10391
843,3725521,14821,12369
844,3708073,14773,12311
845,3751711,14911,12456
846,3718611,14811,12346
847,4243557,16557,14090
848,3167157,12957,10514
849,3142463,12863,10432
850,3511209,14109,11657
851,3308939,13439,10985
852,4765787,18287,15825
853,3533793,14193,11732
854,3744197,14897,12431
855,3473893,13993,11533
856,3519337,14137,11684
857,3416697,13797,11343
858,3847135,15235,12773
859,3087397,12697,10249
860,3044043,12543,10105
861,3697233,14733,12275
862,3282753,13353,10898
863,3632521,14521,12060
864,3807707,15107,12642
865,3782725,15025,12559
866,4379303,17003,14541
867,3552455,14255,11794
868,3231261,13161,10727
869,3681875,14675,12224
870,3679775,14675,12217
871,3663515,14615,12163
872,3250855,13255,10792
873,3964225,15625,13162
874,3426337,13837,11375
875,4120443,16143,13681
876,3189747,13047,10589
877,4166799,16299,13835
878,3567201,14301,11843
879,3465465,13965,11505
880,4064753,15953,13496
881,3688809,14709,12247
882,3022375,12475,10033
883,3084397,12697,10239
884,3094625,12725,10273
885,3256271,13271,10810
886,4598435,17735,15269
887,4254089,16589,14125
