iteration,cost,wirecount,intersectioncount
1359,24658,358,81
1360,11064,264,36
1361,39102,402,129
1362,41248,448,136
1363,6228,228,20
1364,12496,196,41
1365,8598,198,28
1366,7056,156,23
1367,35818,418,118
1368,8558,158,28
1369,96706,706,320
1370,48420,420,160
1371,31550,350,104
1372,23666,266,78
1373,19222,322,63
1374,2798,98,9
1375,26748,348,88
1376,44880,480,148
1377,26448,348,87
1378,27698,398,91
1379,21322,322,70
1380,38844,444,128
1381,33720,420,111
1382,26132,332,86
1383,16164,264,53
1384,25844,344,85
1385,13060,160,43
1386,37652,452,124
1387,31274,374,103
1388,58112,512,192
1389,53608,508,177
1390,5522,122,18
1391,37626,426,124
1392,94610,710,313
1393,10072,172,33
1394,24306,306,80
1395,3174,174,10
1396,61138,538,202
1397,20694,294,68
1398,7970,170,26
1399,13132,232,43
1400,31932,432,105
1401,36074,374,119
1402,30350,350,100
1403,5538,138,18
1404,15578,278,51
1405,25546,346,84
1406,73202,602,242
1407,82852,652,274
1408,29782,382,98
1409,42734,434,141
1410,28228,328,93
1411,60526,526,200
1412,43024,424,142
1413,44266,466,146
1414,27578,278,91
1415,50610,510,167
1416,75612,612,250
1417,31278,378,103
1418,67166,566,222
1419,41228,428,136
1420,16466,266,54
1421,25778,278,85
1422,34632,432,114
1423,37058,458,122
1424,60794,494,201
1425,65996,596,218
1426,37292,392,123
1427,10992,192,36
1428,34908,408,115
1429,17968,268,59
1430,81620,620,270
1431,19504,304,64
1432,11246,146,37
1433,24892,292,82
1434,62632,532,207
1435,10742,242,35
1436,40264,364,133
1437,65062,562,215
1438,11844,144,39
1439,42734,434,141
1440,40052,452,132
1441,20430,330,67
1442,7420,220,24
1443,55670,470,184
1444,21248,248,70
1445,26406,306,87
1446,33946,346,112
1447,40668,468,134
1448,14398,298,47
1449,2574,174,8
1450,27648,348,91
1451,11940,240,39
1452,70500,600,233
1453,58716,516,194
1454,17390,290,57
1455,22198,298,73
1456,15278,278,50
1457,7030,130,23
1458,67170,570,222
1459,5548,148,18
1460,44292,492,146
1461,10722,222,35
1462,32784,384,108
1463,58980,480,195
1464,60842,542,201
1465,34520,320,114
1466,25208,308,83
1467,18568,268,61
1468,10412,212,34
1469,13428,228,44
1470,19858,358,65
1471,7074,174,23
1472,24908,308,82
1473,55132,532,182
1474,15908,308,52
1475,11352,252,37
1476,5560,160,18
1477,20338,238,67
1478,21308,308,70
1479,32194,394,106
1480,8310,210,27
1481,10140,240,33
1482,25524,324,84
1483,28250,350,93
1484,8946,246,29
1485,34618,418,114
1486,33102,402,109
1487,71404,604,236
1488,52732,532,174
1489,94894,694,314
